SI_DO_NAME,SI_GUN_GU_NAME,UP_MYUN_DONG_NAME,final_category,final_score,final_general
서울특별시,강남구,신사동,PREMIUM,0.6926,False
서울특별시,강남구,역삼동,NIGHTLIFE,0.6628000000000001,False
서울특별시,강남구,논현동,NIGHTLIFE,0.6772,False
서울특별시,강남구,청담동,PREMIUM,0.7089,False
서울특별시,서초구,서초동,RESIDENTIAL,0.663325,False
서울특별시,영등포구,여의도동,OFFICE,0.7362,False
서울특별시,마포구,서교동,NIGHTLIFE,0.6511,False
서울특별시,강남구,삼성동,OFFICE,0.68245,False
서울특별시,성동구,성수동2가,NIGHTLIFE,0.62225,False
서울특별시,강남구,대치동,RESIDENTIAL,0.6929666666666666,False
서울특별시,용산구,한남동,PREMIUM,0.6619,False
서울특별시,마포구,연남동,PREMIUM,0.6552,False
서울특별시,강서구,마곡동,RESIDENTIAL,0.659675,False
서울특별시,성동구,성수동1가,NIGHTLIFE,0.62225,False
부산광역시,부산진구,전포동,NIGHTLIFE,0.66785,False
인천광역시,연수구,송도동,CAMPUS,0.67716,False
서울특별시,용산구,이태원동,NIGHTLIFE,0.6583,False
서울특별시,송파구,잠실동,RESIDENTIAL,0.6812333333333335,False
서울특별시,송파구,방이동,PREMIUM,0.6592,False
부산광역시,수영구,민락동,PREMIUM,0.6713,False
서울특별시,서초구,반포동,RESIDENTIAL,0.67522,False
서울특별시,서초구,방배동,RESIDENTIAL,0.6738999999999999,False
부산광역시,부산진구,부전동,NIGHTLIFE,0.68265,False
부산광역시,해운대구,우동,TOURIST,0.6533333333333333,False
서울특별시,관악구,봉천동,NIGHTLIFE,0.5990142857142857,False
서울특별시,송파구,송파동,PREMIUM,0.69235,False
부산광역시,수영구,광안동,TOURIST,0.658075,False
서울특별시,강남구,도곡동,OFFICE,0.6333,False
서울특별시,마포구,합정동,NIGHTLIFE,0.6614,False
부산광역시,해운대구,중동,OFFICE,0.66965,False
서울특별시,마포구,망원동,CAMPUS,0.60285,False
서울특별시,용산구,한강로2가,OFFICE,0.6668,False
서울특별시,중구,신당동,NIGHTLIFE,0.6447499999999999,False
경기도,성남시 분당구,정자동,RESIDENTIAL,0.75025,False
